# Response ID, Median sentence length by number of characters
1076709,87.0
1076792,169.5
1076869,114
1076939,93
10769,152.0
1077119,104.0
1077195,81.0
107740,84
1077476,74.5
1077478,211.0
1077545,45.0
1077659,111.0
1077768,71
1077814,115.0
1078004,118.0
1078009,61
107816,60
1078227,227.5
1078318,172.5
1078342,95.0
1078378,105.0
1078433,133
1078553,119.5
1078603,63
1078916,124.5
1079141,93
1079196,126
1079218,58
1079355,106
1079500,95.5
1079614,94.5
1079643,82.5
107980,56.0
1079845,102.5
1079954,125
1079966,136
1080061,283.5
1080080,128.0
1080285,84
1080585,120
1080655,92.5
1080685,119
1080849,78
108089,69.5
108094,108.5
1080962,133.0
108118,132.5
1081224,64.0
1081341,105.0
1081369,59
1081456,94.5
1081503,104
1081519,96.0
1081543,79
1081623,98.5
1081677,58.5
1081736,246.0
1082036,105
1082050,77.0
1082108,55
108214,75.5
1082237,101
1082245,125
1082308,167
1082317,86
1082328,83.5
1082431,109
1082436,97.5
108260,104.0
108264,137
1082728,112
1082986,100
1083075,139
1083245,64.5
1083446,62
1083455,90.5
1083618,99
108367,86.5
1083697,69
1083779,83.0
1083782,167
1083788,133.0
1083858,92.5
1084073,69.5
1084099,115.5
1084195,70
1084278,92.5
1084324,67.0
1084452,91.0
1084466,99
1084470,91
1084478,66
1084597,130.0
1084860,89
1084934,138.5
1085024,117.5
1085090,76
1085178,99
1085283,69
1085321,166
108543,105.0
1085463,124.0
108565,234
1085663,71
1085714,88.5
1085733,88.5
1085772,81
1085846,113
1086003,110.5
1086007,101.0
108625,97
1086263,91
1086343,67
1086384,75
1086542,32.5
1086584,92.0
1086688,97.0
1086734,74
1086925,78.0
1087158,111
1087264,86
1087630,156.0
1087703,86
1087713,105.5
1087758,79.0
1087972,123
1088092,117.0
1088126,90
1088250,148
1088383,86
1088466,83.0
1088493,171
1088494,58.5
108870,118
108871,96.5
1088827,119.5
1088859,110
1088862,84
1088889,109.0
1088998,71.5
1089123,98
1089155,88
1089280,75.5
1089378,98
1089472,268
1089533,83.5
1089601,121.5
1089627,118.5
1089662,59
108983,81.0
1089898,111.0
1089959,202.0
1090092,104.5
1090108,87.5
109011,92
1090170,87
1090247,99
1090336,227
1090338,122.0
1090340,190
1090349,58
1090399,95.5
1090573,89
1090685,104
1090730,128.0
1090742,99.5
1090891,67
1091014,154
1091022,100
1091108,117.0
1091210,134.5
1091257,90
1091309,101
1091430,88
1091471,115
1091511,107.5
1091583,81.5
1091612,326.0
1091653,145.5
1091720,122
1091757,121
1091866,97.5
1092061,117.0
1092073,122.5
1092270,91
109265,137.5
1092773,54.5
1092963,95
1092969,119.5
1093122,99.5
1093268,123
109326,158
1093321,108
1093339,91.5
1093349,79
109346,98
1093478,118
1093568,106
1093577,91
1093616,112
109364,80.5
1093763,89
1093810,125.0
1093902,117.5
1094011,114.5
1094097,117
1094106,79.5
109415,79
1094163,175
1094180,83
1094286,72
1094638,96.5
1094902,103.0
1095028,85
1095081,70.0
1095250,102.0
1095300,91
1095694,73
109578,97.0
1095791,68
1095879,88.5
1096010,229.0
1096042,130
1096313,108
1096593,67
1096607,67
1096631,173.5
1096651,225.5
1096694,113.0
1096747,97.0
1096755,91.5
109687,73
1097062,119
1097091,73
1097149,92.5
1097242,130
1097253,109.5
1097351,117.0
1097372,56.0
1097498,83.0
1097577,83
1097636,87.0
1097710,131.5
1097741,65
109774,64
1097795,106
1097855,107
1098127,140
1098279,128
1098332,106.0
1098337,172
1098453,107.0
1098551,86
1098553,93
1098663,91
1098724,93
1098800,88.0
1098842,66.5
1098924,54.0
1098928,78.0
1099080,53.5
1099105,118.5
1099106,78.0
109910,106.0
1099116,115
1099125,310
1099127,198
1099256,67
1099361,102.0
1099393,112
1099400,95.0
1099440,164.0
1099541,86
1099627,100.5
1099643,73
1099781,97
1099849,105.5
1100068,75
1100268,97.5
110026,83
1100270,95.5
1100292,163.5
1100356,96
110038,42.5
1100401,93
1100732,71
1100795,80
1101099,76
1101246,139.5
1101265,139
1101313,116.0
1101332,101.0
1101357,204.0
1101729,112.0
1101858,95.5
1101889,90
1101921,245
1102007,72
1102065,128
1102179,69
1102215,109
1102227,79.5
1102427,116
1102500,100.0
1102514,147.0
1102527,83
110274,95
1102795,65.0
1102844,113
1102947,132
1102998,147
1103067,101.0
1103401,73.0
1103494,95
1103630,241
110394,92
1104012,91.0
1104207,89
110423,98.0
1104364,38.0
1104395,62.5
1104904,137.0
1104960,111
1104997,50.0
1105022,112.5
1105037,66
1105047,124.0
1105098,95
110509,84
1105165,140.5
1105188,76.5
1105252,98
1105254,111
1105276,89.5
1105411,68
1105527,240
1105556,123
1105590,85.5
1105857,114
1105862,105
1105897,105
1105962,87
1106019,129.0
1106076,102
1106097,92.5
1106132,71
1106169,104.5
110637,61.5
1106418,57.0
1106425,97
1106499,89.5
1106573,152
1106598,94.0
1106694,87
1106721,155.5
1106726,69.0
1106728,79
1106768,160.5
1106796,77
1106858,127
1106864,114
1106913,81
1106939,82.5
1107011,145
1107017,79
1107034,82.0
1107099,98
1107261,168
1107311,72.0
1107491,110.0
1107506,155
1107534,92.0
1107562,109
1107813,98
1107884,104.5
1108141,127
1108251,99.5
1108278,93.0
1108762,117.0
1108765,90
1109085,141.5
1109151,127
1109173,101
1109218,91
1109556,59.5
1109567,56
1109679,128
1109700,87
1109792,68.0
1109864,49
1109886,52.0
1109974,94.0
1110085,69.0
1110281,127
111042,96
1110601,87.5
1110655,151
1110699,88.5
1110869,47.0
1110971,75.5
1111037,86.5
1111103,121
1111175,99.0
1111178,96.5
1111318,94.5
1111738,66.5
1111928,105
1111984,113.5
1112019,130
1112141,116.0
1112155,99.5
111230,88.5
1112401,172.5
1112509,85.0
1112538,91
1112678,106
1112819,74
1112822,98
1113031,63
1113190,89.0
1113194,114.5
1113257,72.5
1113295,88.5
1113495,95.5
1113573,132.0
1113660,124
1113799,123.5
1113871,199.5
1113888,173
1113915,71
1114004,74.0
1114114,149.0
1114178,147.5
1114229,128.0
1114352,80.0
1114472,111.5
1114523,109
1114595,104.5
1114626,142
1114767,423
1114825,102.0
1114907,85.0
1114943,74
1115147,111.0
111518,99.5
1115221,71.0
111532,53
1115418,135
1115627,105.0
1115678,83
1115681,69
1115705,90
1115706,56.0
1115722,123
1115860,88
111601,93.0
1116042,105.0
1116071,64
1116089,75.5
1116340,165.5
1116411,81
111649,105.0
1116560,94
1116626,67.0
111664,82.5
1116742,127.0
1116766,109.5
1116768,68
1116840,101.5
1116877,141.0
111701,67.5
1117091,79.5
1117118,115.5
1117146,66.0
1117608,179
1117671,75
1117687,65.0
1117740,70.5
1117903,129.0
1117909,73.0
111830,71.0
1118473,77
1118487,110.5
1118531,94
1118534,140
1118558,125.5
1118568,94
1118619,127
1118696,69
1118709,93
1118738,132.5
1118862,99
1118901,65.5
1119127,138.0
1119260,75
1119329,74
1119334,142
1119358,112.5
1119490,109
1119584,84
1119781,75.0
1120039,110.5
112005,108
1120348,141
11203,72
1120447,105
1120486,80
1120555,151
1120670,92.0
112069,111
1120717,112
1120749,85.0
1120829,99.0
1120880,97
1120953,105
1120966,143
1120968,70
1121083,88
1121124,171.0
1121144,74.5
112115,121
1121216,118
1121350,102.5
1121351,91
1121417,57
1121563,92
1121565,92
1121638,94.5
112184,104.0
1121857,70.5
1121880,120.5
1122079,186
1122110,69.0
1122148,122
1122215,168.5
1122260,90.0
1122354,93.0
1122432,70.5
1122591,81
1122593,64.5
112269,115.0
1122800,127.0
1122810,82
1122932,122
1122943,92
1122978,70
112298,127.0
1123014,92
112315,77
112324,72.5
1123262,71.0
1123293,88.5
1123295,67
1123304,120
1123320,165.0
112333,108
1123424,68.5
112343,94
1123748,81.5
1123776,135
1123805,133.5
1123878,67
1123977,128.5
1124099,106.5
1124115,79
1124162,183
1124369,94
1124455,76.5
1124522,149.5
1124783,115
1124819,121.0
112494,77
1125187,110
1125191,137.5
1125564,102.5
1125838,98
112592,88.5
1126001,89
1126144,62
1126329,143.5
1126384,113.5
1126472,149.0
1126521,126
1126528,69
1126597,75.5
1126636,76.0
1126758,79.5
1126799,100
1127021,125
1127050,145.0
1127080,85
112715,93
1127176,105
1127200,131.0
1127260,82.5
1127304,128
1127387,77
1127395,97
1127473,78
1127631,159.5
1127688,92.0
1127757,131.0
1127786,98
1127832,165
1127909,230.5
1127941,166.0
112805,83.5
1128202,97.0
1128238,103
1128260,106
1128278,96
1128319,133
112845,87
1128527,151.0
112877,44
1128789,104
1129154,163
1129215,65.0
1129490,29
1129521,174
1129532,93.0
1129578,80
1129620,168
1129637,75
1129932,42.5
113010,98
1130130,112.5
1130217,97.0
1130325,77
113036,102
1130720,121.0
1130785,88
1130809,122
1130868,67.0
1130971,127
1131163,58.5
1131172,101
1131180,153
1131319,111
1131331,82.5
1131365,87.5
1131377,144
1131385,96
1131463,84.0
1131487,70
1131715,86
1131786,54
1131883,187.0
1132072,78.0
1132103,49.5
1132119,82.0
1132353,115
1132436,89.5
1132478,160.5
1132559,110.5
113267,161.5
1132702,81
1132806,178.5
1132984,94
113320,78.5
1133410,114.5
1133423,130.5
1133447,221.5
1133601,92.5
1133609,97.5
1133625,124
1133647,104.5
1133658,167
1133813,161
1133892,64.5
1133961,104
1133965,124
1133978,115
1134015,86.0
1134057,91.0
1134094,95
1134121,154.5
1134432,343.5
1134507,60.0
1134674,159.0
1134794,78.0
11347,95
1134905,101.5
1135100,113
1135149,96.5
113518,103
1135240,134.0
1135299,94.5
11353,91.0
1135415,102.0
1135430,89
1135467,92
1135637,140.0
1135708,113.0
1135715,111.5
1135734,67
1135937,89
1136016,102
1136056,112.5
1136123,128.0
1136221,65
1136310,85
1136435,79
1136441,73.0
1136540,104.0
1136669,124
1136740,132.5
1136743,87.5
113678,62.5
1136859,176.0
1137116,120.0
1137203,77.5
1137207,87.0
1137238,145.5
1137241,80
1137266,32
1137409,102.5
1137466,106
1137509,69.5
1137747,76
1138106,96
1138108,101
1138113,86.5
1138119,115.0
1138393,83
1138427,99.0
113858,94.5
1138674,176
1138755,122.5
1138814,139
1138948,162
1139029,102
1139143,163.0
1139145,139.0
1139172,123
1139182,81
1139220,110
1139323,110
1139333,104.5
1139492,91
1139576,120
1139621,80.5
1139765,117.5
1139778,81.5
1139863,107
1139910,129
1140015,191
1140045,82
1140153,222
1140214,95.0
1140280,98.0
1140289,107.5
1140292,68
1140318,46.0
1140353,156.5
1140355,80.0
1140378,79
1140382,140.5
1140473,69
1140603,116
1140736,70
1140857,89
1140995,140
1141119,62.0
1141167,83
1141177,104
114120,88.5
1141240,105
1141318,54.5
114142,78
114151,130.5
1141674,111.5
1141699,133
1141936,72.5
1142027,187
1142088,101.5
1142118,165
114219,55
1142214,115.0
1142409,93
1142499,98.0
1142567,148.5
11425,78
1142608,120
1142663,89
1142749,154.0
1142774,114.0
1142846,60.5
114296,119
1143052,73
1143107,57
1143164,97.5
1143220,103
1143264,114.0
1143274,317
1143555,112
1143655,91.5
1143676,113
1143748,140
1143786,231.0
1143795,86.0
1143807,152
1143873,102
1144067,97.0
114410,82.5
1144211,77
1144227,91.5
1144251,112.5
1144340,166.0
1144387,108.0
1144396,102.5
1144441,85.0
1144447,94.0
1144453,51
1144757,99
1144825,85.5
1145027,123.5
114502,41.5
1145300,89
1145444,130.0
1145645,75.5
1145791,92
114592,85
1146000,104
1146006,143
1146038,149
1146060,96.0
1146076,132.0
1146077,97
1146161,144.5
114632,87.5
1146488,74
1146557,52.0
1146583,82
1146658,92
114679,89.0
1146835,154
1146890,129
1147163,109.5
1147187,105
1147214,122.5
1147239,137
1147316,56.5
1147432,104
1147528,57
114752,110
1147630,59
1147675,153
1147714,70.5
1147723,95.0
1147734,103.0
1147775,74.0
1147876,101
114803,68.0
1148071,77
1148101,85.0
114814,201.5
1148250,116
1148255,102
1148336,81.0
1148466,89
1148468,109.0
1148496,142
1148681,79
1148789,101.5
1148903,103.0
1148976,225.0
114907,78.5
1149147,107
1149270,123
1149313,160.5
1149330,100.0
1149373,99.0
1149707,90.5
1149897,125.0
1149918,133.5
1149926,140
1150000,120
115000,79
115009,81
1150202,123
1150204,365.5
1150265,155.0
1150302,106
1150330,97
1150400,89.0
1150446,119.5
1150823,112.5
1150906,143.5
115095,101
1151272,123
115131,112.0
1151320,55
1151361,75.5
1151449,128.5
115179,165.5
1151827,87
1151829,129.5
1151886,99.0
1151942,104.0
1152153,69.0
1152202,91.5
1152340,125
1152358,86.0
1152359,66.0
1152471,68
1152615,84
1152681,115.0
1152713,131
1152780,143
1152802,107
1152916,89
1153065,64
1153118,87.0
1153439,104.0
1153536,91
1153594,175.5
1153626,32.5
1153733,75.5
115374,112
1153775,58.0
1153837,142.5
1153845,156
1153947,74
1154048,117
115407,86
1154100,117.5
115435,131
1154562,99
115475,156
1155108,123
1155160,112.5
1155174,89.5
115526,83
1155360,135
1155387,88
1155631,104.0
11557,86
1155868,118.5
1155940,102
1156070,95
1156109,71
1156164,84
1156245,64
1156259,124.0
115632,145.5
1156364,85.0
1156395,81
1156452,141.0
1156572,109.0
1156629,111
1156687,101
11566,128.0
1156866,245
1156985,112
1157237,94
1157263,83.0
1157285,218.5
1157300,142
1157341,93.5
115743,58.0
1157923,182.5
1157948,78.0
1157984,117
1158032,84.0
11580,77
1158123,68.5
1158275,73.5
1158307,86
1158379,138.5
1158494,108
1158503,71.0
1158507,92
1158606,68.5
1158630,84
1158665,95
1158753,88
1158915,54
1159021,55
1159224,81
1159249,104.5
1159272,95
1159369,143.0
1159476,107.5
1159528,69
115952,93
1159548,76
1159567,69.5
115956,115
1159605,86.5
1159656,134.5
1159721,182
1159884,118.5
1159999,102
1160058,76.5
1160102,77.5
1160398,90
1160449,87
1160675,106
1160787,138.0
116085,142
1160866,175.5
1160892,84.0
1160989,92.5
1161144,146
1161147,83
1161154,121
1161172,93.0
1161185,66.0
1161586,139
1161732,113.0
1161847,103
1161907,160.0
1162119,140.5
1162354,44.0
1162369,122
1162480,74.5
1162627,62.0
1162642,69.0
1162710,84
1162722,88
1162739,112.0
116281,110
1162853,121.5
116293,125
1162943,121
1162960,77
1163015,87.5
1163051,121
1163102,115.5
1163208,243.5
116322,69
1163243,83.5
11632,117
1163318,124
1163329,102.5
