file,paragraph count,sentences per paragraph,words per paragraph,characters per paragraph
13194,4,4.25,80.75,375.75
13210,7,3.142857142857143,52.714285714285715,226.57142857142858
13940,3,9.333333333333334,130.66666666666666,508.6666666666667
14157,5,4.2,71.8,269.4
14163,1,19.0,363.0,1580.0
14288,5,2.4,65.0,260.2
14382,4,3.25,76.0,327.5
14397,5,3.0,77.8,330.8
14471,1,26.0,308.0,1139.0
15340,4,4.25,81.5,364.5
15663,5,4.0,77.6,284.8
16003,5,2.8,89.6,390.8
16038,3,2.0,87.0,371.3333333333333
16073,4,5.25,87.5,349.75
16793,4,4.75,103.25,403.75
17339,5,3.2,63.6,296.6
17807,4,2.75,67.0,258.25
17845,3,7.0,121.33333333333333,475.0
18090,4,4.0,96.0,429.75
18443,5,3.6,78.6,323.0
18553,5,5.0,74.8,336.0
18589,4,4.25,89.5,395.5
18618,4,5.0,92.5,383.25
18690,5,4.4,72.4,302.2
18772,6,4.833333333333333,73.0,272.5
18783,4,2.5,52.25,217.25
18970,5,3.8,97.2,350.2
19280,4,3.75,95.0,426.75
19812,1,13.0,280.0,1129.0
19982,1,3.0,118.0,516.0
20023,4,3.75,94.25,402.0
20063,5,2.4,72.6,313.2
20156,4,4.0,101.25,451.5
20376,5,4.0,77.8,349.4
20400,4,5.0,93.75,379.75
21007,4,3.75,82.25,349.25
21052,6,3.5,78.66666666666667,350.8333333333333
21310,5,3.6,68.6,277.4
21595,5,3.0,67.2,257.2
21598,9,1.0,37.22222222222222,136.0
22025,4,4.5,75.25,341.75
22056,1,10.0,367.0,1474.0
22249,4,4.0,76.0,309.75
22394,1,27.0,613.0,2525.0
22549,2,8.5,167.5,711.5
22597,7,2.2857142857142856,46.857142857142854,187.0
22698,5,5.0,103.6,440.0
22919,6,2.5,59.166666666666664,252.66666666666666
23062,4,3.5,102.5,405.5
23175,5,5.0,70.2,327.6
23291,4,5.75,114.75,486.25
23292,5,2.6,66.4,253.4
23684,5,4.8,62.6,274.6
23897,3,5.0,120.66666666666667,462.3333333333333
23925,4,4.0,127.25,574.75
23976,8,1.75,46.875,205.625
24202,6,3.5,71.16666666666667,299.5
24266,5,2.6,69.8,314.6
24312,3,8.0,111.66666666666667,392.3333333333333
24427,4,4.0,94.5,400.25
24514,3,5.666666666666667,61.666666666666664,264.6666666666667
24637,3,5.333333333333333,138.0,573.6666666666666
24975,5,3.4,75.0,295.4
25063,4,4.25,96.75,401.25
25431,4,2.0,72.25,297.0
25554,4,5.0,106.75,425.5
25841,5,3.2,84.0,389.4
25867,4,6.0,81.25,356.25
25948,5,3.8,90.4,350.6
26027,6,3.6666666666666665,64.66666666666667,281.6666666666667
26125,6,3.0,63.166666666666664,258.3333333333333
26388,4,4.5,83.0,315.75
26649,2,4.5,85.5,328.0
26720,5,1.2,59.6,229.6
26729,5,3.8,75.0,292.6
26917,5,3.4,77.4,300.0
27217,7,3.142857142857143,57.714285714285715,228.57142857142858
27234,5,4.2,65.8,264.8
27527,3,5.333333333333333,94.66666666666667,364.3333333333333
28261,4,4.25,100.0,468.25
28364,4,4.0,84.5,324.5
28471,4,4.0,91.25,366.5
28532,7,1.0,33.42857142857143,131.14285714285714
28557,1,13.0,209.0,777.0
28609,5,4.4,115.4,516.4
28610,4,3.5,67.0,287.25
28771,5,3.2,70.2,278.6
28789,5,2.2,48.0,196.4
28841,7,1.2857142857142858,34.142857142857146,138.57142857142858
29229,1,14.0,358.0,1622.0
29289,1,2.0,37.0,176.0
29397,4,5.25,91.25,385.25
29470,4,4.5,75.0,286.5
29490,4,5.5,130.5,590.75
29693,6,2.5,58.833333333333336,219.5
29696,5,3.0,78.4,345.6
29755,8,1.625,47.25,202.75
29789,6,2.3333333333333335,41.333333333333336,171.33333333333334
29905,5,5.0,68.8,268.4
29959,4,5.0,98.5,416.0
30159,4,3.5,97.0,429.75
30584,6,3.3333333333333335,75.16666666666667,338.5
30668,5,3.4,67.8,272.0
31117,4,4.0,76.5,329.5
31135,4,3.25,80.25,353.25
31544,3,4.666666666666667,88.33333333333333,390.6666666666667
31650,6,2.8333333333333335,64.5,255.0
31998,4,3.75,94.25,387.25
32073,5,2.6,82.2,352.6
32629,5,2.0,60.6,232.6
32672,6,3.1666666666666665,75.83333333333333,338.8333333333333
32900,6,2.1666666666666665,57.166666666666664,253.66666666666666
32922,3,2.6666666666666665,60.333333333333336,282.6666666666667
33102,3,1.3333333333333333,73.33333333333333,267.6666666666667
33745,5,1.4,58.2,252.6
33811,5,3.0,71.0,300.0
33857,6,2.8333333333333335,66.66666666666667,289.3333333333333
33973,4,3.75,65.0,279.25
34125,4,4.0,104.0,386.75
34393,4,4.75,83.0,302.5
34566,3,2.6666666666666665,87.33333333333333,354.0
35061,4,2.5,87.0,362.5
35220,1,13.0,337.0,1306.0
35420,4,5.0,78.25,293.25
35548,4,4.0,81.25,345.25
35820,4,3.25,83.0,390.75
35950,1,1.0,349.0,1385.0
35984,4,3.5,87.75,402.5
36056,3,5.666666666666667,154.66666666666666,623.0
36239,6,2.1666666666666665,64.5,283.0
36300,4,3.75,71.0,338.0
36328,6,2.3333333333333335,50.333333333333336,226.83333333333334
36413,5,4.4,78.2,308.8
36602,9,2.2222222222222223,46.55555555555556,206.22222222222223
36663,4,3.5,93.0,359.0
36673,8,1.75,51.0,209.375
36833,5,2.6,52.8,216.4
37662,5,3.2,98.4,408.0
37703,4,3.75,88.25,356.0
37807,7,3.0,43.714285714285715,189.71428571428572
38070,5,3.6,81.4,345.8
38209,7,3.2857142857142856,72.14285714285714,268.42857142857144
38221,4,6.0,83.0,313.25
38535,4,4.75,83.25,360.75
38571,4,2.75,88.75,337.0
38653,4,2.75,50.0,201.5
38979,1,14.0,319.0,1200.0
38980,5,3.8,71.2,315.2
38991,3,7.333333333333333,113.0,460.6666666666667
39030,2,13.0,157.0,656.5
39189,4,1.5,42.5,207.0
39532,3,5.0,81.66666666666667,316.6666666666667
40209,6,4.5,81.83333333333333,327.6666666666667
40378,5,2.8,72.0,312.2
40422,5,3.0,74.6,299.0
40554,4,5.0,114.0,516.0
40863,5,3.2,81.4,317.8
41232,6,3.3333333333333335,81.0,314.0
41419,4,1.0,92.0,373.25
41427,3,8.0,153.0,618.0
41809,2,13.0,133.0,449.5
41900,4,2.75,53.75,198.0
42310,5,2.4,63.0,269.2
42592,5,1.6,60.0,253.4
42600,5,4.0,70.2,294.2
42738,2,5.5,136.5,607.0
42760,5,3.4,70.6,290.8
43112,4,2.25,90.5,412.5
43322,5,4.6,80.8,343.2
43558,6,2.5,47.333333333333336,203.33333333333334
43677,4,3.0,69.0,312.5
43685,5,4.0,67.0,267.4
43771,4,1.25,84.5,340.75
44062,5,2.4,70.0,298.4
44162,4,5.5,85.5,326.0
44565,3,4.666666666666667,69.0,281.0
44669,3,3.0,113.66666666666667,441.3333333333333
44804,4,4.25,74.0,282.75
44844,4,5.0,77.25,328.5
44961,6,1.5,55.666666666666664,236.0
45134,3,5.666666666666667,124.66666666666667,499.6666666666667
45347,5,3.8,70.0,296.4
45353,5,3.4,57.2,234.6
45595,4,2.75,101.5,379.0
46209,4,3.5,94.0,355.5
46245,5,2.4,69.2,293.6
46266,7,2.2857142857142856,55.714285714285715,215.71428571428572
46344,5,4.0,62.2,240.4
46596,4,7.25,107.0,396.0
46768,6,3.3333333333333335,56.333333333333336,214.83333333333334
46776,3,4.0,83.33333333333333,371.0
46827,4,5.75,84.75,380.25
46849,5,2.4,66.2,254.6
47554,5,4.0,76.2,325.6
47790,7,3.7142857142857144,71.85714285714286,315.57142857142856
47814,4,4.0,78.25,344.75
47853,1,4.0,190.0,787.0
47916,2,7.0,127.5,505.5
48684,5,3.6,75.8,302.2
48734,4,5.0,86.75,343.25
48984,5,2.6,68.6,311.8
49636,2,5.0,140.5,568.5
49823,4,4.75,80.5,353.0
50082,4,6.25,94.0,384.0
50229,5,2.6,74.0,292.2
50710,5,2.2,79.8,321.0
50865,3,5.333333333333333,107.0,414.3333333333333
50958,6,3.3333333333333335,62.0,264.1666666666667
51386,12,1.3333333333333333,26.5,112.75
51757,7,2.0,44.714285714285715,182.71428571428572
51759,4,6.25,84.0,354.75
52054,4,2.75,91.25,350.0
52063,4,3.25,92.25,394.25
52674,4,2.5,74.75,316.75
52951,5,3.8,73.2,318.0
53993,6,2.5,53.333333333333336,210.33333333333334
54026,5,3.4,66.6,284.4
54118,6,2.5,51.0,202.83333333333334
54162,3,2.6666666666666665,70.0,283.6666666666667
54191,4,6.0,100.25,402.0
54260,5,5.2,75.8,270.4
54366,4,5.75,117.25,506.0
54377,5,3.8,90.8,391.2
54396,4,7.0,94.25,371.5
54482,3,2.6666666666666665,73.66666666666667,296.3333333333333
54719,4,6.5,67.75,271.75
54915,5,3.4,59.6,240.6
54939,3,3.6666666666666665,111.0,523.0
55034,7,2.0,53.0,214.0
55403,5,2.6,54.8,260.4
55565,6,2.1666666666666665,41.333333333333336,174.66666666666666
55857,4,4.75,94.25,389.25
55923,4,3.75,85.75,401.0
55925,3,3.6666666666666665,117.33333333333333,511.3333333333333
56222,2,4.5,170.0,654.5
56282,3,4.333333333333333,70.0,309.3333333333333
56736,6,2.6666666666666665,49.0,194.0
56782,5,3.0,70.8,298.2
56963,5,2.2,70.2,320.2
57409,4,4.75,80.5,348.25
57433,4,3.25,91.75,396.0
57452,7,2.5714285714285716,52.42857142857143,218.85714285714286
57604,1,9.0,326.0,1214.0
57752,11,1.5454545454545454,37.36363636363637,159.1818181818182
57757,5,2.6,61.4,256.8
58395,4,3.75,94.5,412.25
58551,7,3.142857142857143,50.714285714285715,230.85714285714286
58832,5,3.2,71.8,310.6
58916,3,5.333333333333333,110.66666666666667,463.0
59053,4,4.75,82.0,337.75
59485,3,4.666666666666667,64.66666666666667,262.6666666666667
59730,3,4.0,67.66666666666667,261.0
59819,4,1.25,66.75,288.75
59848,1,11.0,322.0,1275.0
59983,3,6.666666666666667,107.33333333333333,432.0
60059,2,8.0,153.5,656.0
60162,4,5.0,131.25,621.75
60196,5,4.4,70.6,288.4
60595,1,33.0,290.0,1066.0
60670,4,3.0,79.25,356.5
60713,4,5.25,90.5,383.25
60738,7,3.0,47.714285714285715,187.28571428571428
61030,4,4.75,106.5,419.25
61190,3,1.0,120.0,478.0
61275,4,3.75,66.75,279.5
61450,4,3.5,88.0,398.25
61529,5,6.6,82.4,349.6
61765,1,5.0,174.0,728.0
61847,5,3.8,74.0,325.2
61870,2,2.5,63.0,279.5
62188,6,1.6666666666666667,57.166666666666664,234.33333333333334
62374,6,2.0,55.333333333333336,217.83333333333334
62447,6,2.0,56.166666666666664,262.3333333333333
62820,6,2.8333333333333335,70.0,291.8333333333333
63040,5,2.8,82.8,325.2
63189,6,3.5,79.16666666666667,329.1666666666667
63277,5,3.2,51.8,239.0
63578,4,3.75,62.25,286.25
63719,5,4.8,97.2,419.6
64009,5,7.2,122.6,486.6
64171,5,3.0,66.8,261.8
65339,3,7.0,125.33333333333333,528.3333333333334
65345,5,2.8,78.2,347.6
65506,4,3.5,83.0,376.75
65734,7,2.7142857142857144,66.42857142857143,293.0
65865,4,1.75,64.25,249.0
65870,4,3.75,68.75,290.5
65877,4,5.25,86.75,370.5
66028,1,21.0,350.0,1441.0
66233,5,3.0,74.4,337.8
66235,6,2.8333333333333335,51.833333333333336,233.5
66530,4,8.5,91.5,309.0
66589,3,6.666666666666667,117.0,469.0
66592,4,2.5,56.0,251.75
67035,4,4.5,116.75,464.0
67062,5,6.2,87.6,330.0
67123,5,2.4,68.6,280.8
67346,5,4.6,77.0,303.2
67471,5,3.4,58.0,222.4
67639,4,4.25,98.75,376.0
67805,6,3.1666666666666665,53.666666666666664,217.66666666666666
67816,5,5.2,97.8,398.2
68157,6,3.0,55.166666666666664,244.16666666666666
68582,5,5.0,67.4,242.2
68592,6,4.333333333333333,102.16666666666667,444.8333333333333
68678,4,3.25,90.5,405.25
68739,5,4.2,101.6,422.2
69111,5,2.6,77.2,357.4
69177,1,7.0,200.0,870.0
69255,5,3.6,68.2,266.0
69393,6,2.1666666666666665,77.5,337.5
69491,5,3.4,72.4,311.4
69510,5,1.6,68.8,257.4
70027,2,6.0,242.0,1011.0
70247,5,3.6,77.8,347.6
70330,5,4.4,71.4,306.0
70397,3,6.0,80.33333333333333,319.3333333333333
70619,7,2.142857142857143,52.857142857142854,245.28571428571428
70644,4,4.0,92.5,385.75
70661,4,5.75,96.5,411.75
70824,3,4.0,70.33333333333333,267.3333333333333
70965,5,2.0,62.4,279.6
71654,6,4.166666666666667,69.5,278.0
72063,6,3.5,56.833333333333336,239.16666666666666
72083,4,3.5,79.75,329.25
72114,5,1.0,59.2,251.8
72320,6,1.8333333333333333,55.0,216.5
72376,4,3.5,67.0,269.25
73082,5,4.2,76.6,308.2
73163,6,4.833333333333333,71.33333333333333,318.0
73212,5,3.6,70.2,302.8
73222,4,3.75,56.0,241.5
73297,5,4.2,65.2,257.0
73427,5,2.2,69.8,304.4
73501,4,1.25,61.0,257.0
73721,4,4.75,90.25,362.25
74281,2,7.0,100.5,441.0
74297,4,4.25,100.0,420.5
74452,4,5.0,100.25,383.25
74580,4,3.5,64.25,268.5
74820,4,4.0,102.5,433.0
74903,4,2.75,78.0,313.0
75381,3,4.0,113.0,460.3333333333333
75868,4,1.25,61.75,235.75
76005,5,3.4,63.4,261.8
76152,5,5.2,104.4,428.6
76434,4,6.0,95.0,381.75
76547,3,5.333333333333333,131.0,558.3333333333334
76614,3,4.666666666666667,114.33333333333333,477.0
76666,5,6.6,76.6,283.8
76831,4,8.0,80.75,329.75
76891,5,1.4,62.8,257.4
77255,7,2.142857142857143,54.0,222.42857142857142
77388,6,3.1666666666666665,58.333333333333336,236.0
77621,7,3.2857142857142856,53.142857142857146,214.57142857142858
77838,4,4.25,96.5,380.5
78009,4,3.75,85.0,352.5
78264,4,6.0,87.5,370.75
78400,5,3.6,75.6,328.4
78609,5,4.0,68.4,274.6
78794,4,1.25,73.25,300.5
78935,5,3.2,70.8,284.8
79025,5,4.6,70.4,295.6
79211,5,3.2,71.0,287.8
79224,6,4.5,91.83333333333333,367.6666666666667
79442,5,3.8,70.0,284.2
79595,1,12.0,249.0,1020.0
79709,6,3.3333333333333335,89.0,342.1666666666667
79816,5,2.0,49.8,211.2
79837,5,5.0,113.2,469.0
79842,5,4.0,74.8,299.8
79990,4,6.75,105.75,455.75
80920,4,4.0,73.75,312.75
81218,1,7.0,171.0,733.0
81227,3,5.333333333333333,116.0,400.6666666666667
81437,5,4.0,98.0,434.6
81507,5,3.6,105.4,427.8
81735,6,3.0,71.0,296.3333333333333
81824,4,6.25,95.25,386.25
82006,3,7.0,117.33333333333333,528.3333333333334
82026,5,2.8,63.2,255.0
82120,6,2.8333333333333335,58.166666666666664,206.33333333333334
82613,5,3.2,71.6,323.0
82993,4,3.25,90.5,343.5
83182,7,2.4285714285714284,48.285714285714285,229.57142857142858
83187,6,2.1666666666666665,55.166666666666664,229.16666666666666
83250,8,3.25,84.875,335.625
83310,1,11.0,349.0,1427.0
83587,3,4.333333333333333,114.33333333333333,480.6666666666667
83615,6,3.0,88.5,394.5
83874,4,2.0,81.0,339.75
84002,3,7.666666666666667,142.0,581.3333333333334
84139,4,3.25,68.0,277.25
84242,6,3.1666666666666665,61.833333333333336,273.6666666666667
84459,1,9.0,359.0,1474.0
84753,3,8.0,147.33333333333334,639.0
84912,4,3.5,67.75,291.5
85022,5,4.4,85.8,378.6
85142,4,6.0,89.75,366.25
86347,4,4.5,103.75,438.75
86771,5,2.4,55.8,270.8
86821,5,4.8,75.6,302.0
87087,4,3.0,53.25,241.75
87097,8,2.0,40.25,161.25
87101,6,2.8333333333333335,71.0,278.5
87161,4,3.25,75.5,365.25
87463,4,3.25,93.25,404.25
88000,5,4.0,61.6,242.2
88141,5,4.0,74.6,336.8
88199,5,4.0,67.2,269.4
88202,3,5.0,85.66666666666667,335.0
88244,6,2.3333333333333335,85.33333333333333,324.1666666666667
88310,4,5.0,72.75,302.0
88445,5,3.2,70.0,303.0
88622,5,3.2,82.6,334.8
89547,5,3.0,80.4,367.0
89643,4,4.5,86.25,384.0
89860,5,4.0,47.8,204.2
89885,4,4.25,113.25,508.25
89896,4,4.75,89.5,401.5
90472,4,3.75,84.0,359.0
90750,4,5.5,145.0,593.0
90951,3,8.0,148.33333333333334,575.0
91268,5,3.2,74.4,307.4
91681,2,4.0,101.0,407.5
91899,4,6.0,86.0,341.5
91965,5,1.8,82.0,321.0
92230,6,1.0,60.166666666666664,245.83333333333334
92842,4,4.25,54.5,214.5
92904,2,5.5,112.0,518.0
93143,5,5.8,76.6,350.0
93531,1,10.0,324.0,1358.0
93566,6,3.5,75.0,276.3333333333333
93909,7,2.2857142857142856,52.142857142857146,219.85714285714286
94274,5,2.6,55.6,253.4
94398,3,2.3333333333333335,69.0,287.0
94426,3,6.666666666666667,134.66666666666666,561.0
94633,3,4.333333333333333,89.0,383.0
94655,5,5.0,64.2,240.6
94768,5,3.2,65.4,299.6
95152,1,21.0,472.0,1776.0
95244,5,2.8,89.0,410.4
95406,3,1.6666666666666667,100.66666666666667,362.0
95457,4,2.5,85.5,342.25
95466,4,3.0,86.5,376.5
95508,4,3.25,92.5,396.75
95789,6,2.3333333333333335,57.5,243.5
95826,5,3.6,75.0,313.2
95939,4,1.25,77.5,301.75
96033,4,4.25,75.0,288.5
96321,5,2.4,74.0,301.4
96404,5,3.8,81.6,354.4
96442,7,2.142857142857143,50.714285714285715,212.85714285714286
96578,4,3.75,82.25,328.0
96909,5,3.8,68.6,281.2
97031,5,2.0,62.2,245.6
97192,6,2.0,59.833333333333336,247.16666666666666
97262,4,2.5,52.75,195.25
98093,5,3.6,77.0,325.2
98215,5,4.4,84.4,314.6
98264,5,2.6,64.0,299.6
98336,4,5.75,103.25,396.0
98497,4,4.5,100.5,431.5
98534,3,2.3333333333333335,109.33333333333333,461.0
98551,4,2.5,64.5,251.0
98579,3,4.0,70.66666666666667,277.0
98747,5,3.2,66.2,286.4
98792,3,4.666666666666667,96.33333333333333,414.0
98897,5,2.0,63.2,279.4
99231,4,4.0,100.75,395.0
99372,5,4.0,63.4,263.2
99527,5,3.6,72.6,325.4
100021,4,1.25,29.25,143.0
100082,4,3.75,91.25,384.0
100101,3,6.0,126.66666666666667,517.0
100132,3,5.0,87.33333333333333,341.6666666666667
100188,3,3.3333333333333335,49.333333333333336,231.0
100202,1,16.0,389.0,1639.0
100336,3,3.3333333333333335,82.33333333333333,361.6666666666667
100416,6,1.6666666666666667,60.166666666666664,244.66666666666666
100483,4,4.0,85.25,358.75
100513,3,6.333333333333333,113.66666666666667,443.6666666666667
100625,3,3.0,70.33333333333333,303.6666666666667
100691,5,3.0,57.2,245.2
100765,4,8.0,134.0,551.0
100791,5,2.2,77.0,320.6
101001,4,3.5,101.0,393.5
101063,5,3.8,66.0,289.0
101126,4,2.5,80.25,350.75
101267,3,6.666666666666667,112.0,476.3333333333333
101556,4,3.75,109.25,493.5
101568,3,8.333333333333334,170.0,701.6666666666666
101765,5,5.6,89.0,334.2
102061,6,2.3333333333333335,61.166666666666664,263.3333333333333
102297,4,2.5,54.0,241.75
102489,6,2.5,84.5,364.5
102535,4,3.25,61.0,291.75
102695,5,2.4,41.8,188.4
102872,4,3.5,68.0,288.5
102895,5,6.0,100.4,403.6
103189,3,2.6666666666666665,126.0,525.3333333333334
103424,4,7.0,108.75,411.5
103545,5,5.8,88.0,405.8
103759,5,4.0,78.4,338.0
103840,2,5.0,79.0,359.0
103851,6,2.6666666666666665,56.166666666666664,241.33333333333334
104080,4,7.25,164.5,654.0
104261,6,3.1666666666666665,53.666666666666664,198.0
104344,4,6.75,95.5,347.0
104396,4,3.25,88.75,345.5
104414,3,4.666666666666667,79.66666666666667,306.6666666666667
104610,4,1.5,55.0,215.0
104726,3,2.3333333333333335,110.0,437.6666666666667
104767,1,4.0,54.0,237.0
104807,6,3.0,43.666666666666664,189.83333333333334
104896,4,4.75,86.0,311.0
104966,6,3.1666666666666665,83.5,370.1666666666667
105061,5,3.4,75.6,290.8
105101,4,2.25,62.5,248.5
105159,8,3.0,45.875,193.5
105179,4,4.75,130.25,574.25
105202,5,4.4,79.0,335.8
105218,5,4.0,79.0,348.2
105219,6,3.1666666666666665,66.5,270.6666666666667
105390,3,6.333333333333333,117.66666666666667,482.0
105404,4,4.25,65.0,275.75
105546,4,3.5,94.0,435.25
105670,2,2.0,42.0,153.0
105677,1,15.0,219.0,782.0
105779,6,2.1666666666666665,41.0,181.33333333333334
105815,4,2.0,89.25,344.75
105893,1,7.0,293.0,1114.0
105955,8,2.375,53.25,201.75
105974,4,4.75,87.75,363.75
106007,6,3.3333333333333335,74.66666666666667,302.8333333333333
106022,6,3.3333333333333335,60.0,260.6666666666667
106055,3,4.666666666666667,99.66666666666667,392.0
106214,3,6.666666666666667,108.0,441.0
106467,1,11.0,258.0,975.0
106547,6,3.6666666666666665,63.333333333333336,242.66666666666666
106584,3,9.0,119.66666666666667,455.3333333333333
106586,5,3.4,69.4,315.6
106724,4,3.25,77.0,352.75
106772,4,5.25,111.5,455.5
106793,3,4.666666666666667,119.0,504.0
106895,5,4.2,88.6,344.6
107269,5,2.8,76.2,336.0
107338,4,5.0,74.0,321.0
107514,4,5.0,109.5,530.75
107740,4,3.25,62.5,252.25
107816,5,2.8,37.0,131.6
107980,7,3.142857142857143,40.42857142857143,185.28571428571428
108089,5,4.4,65.4,269.2
108094,5,2.4,58.0,223.8
108118,6,2.3333333333333335,53.833333333333336,228.5
108214,5,4.0,74.8,284.6
108260,4,3.0,63.5,280.5
108264,4,3.75,106.75,479.25
108367,4,4.75,104.25,409.25
108543,5,3.6,72.6,322.0
108565,6,3.8333333333333335,57.5,259.3333333333333
108625,6,3.1666666666666665,60.333333333333336,267.8333333333333
108870,4,2.0,76.0,317.5
108871,5,4.2,84.0,362.8
108983,4,6.0,110.5,445.5
109011,5,3.8,60.6,271.0
109265,5,2.2,71.6,305.2
109326,4,2.0,86.0,383.75
109346,3,5.666666666666667,110.66666666666667,466.3333333333333
109364,5,5.8,96.4,415.0
109415,5,5.2,99.8,362.0
109578,2,6.0,133.0,465.0
109687,4,3.25,46.0,187.25
109774,3,4.333333333333333,67.33333333333333,271.6666666666667
109910,5,4.0,80.4,344.2
110026,6,3.3333333333333335,61.0,266.3333333333333
110038,4,8.0,84.0,323.5
110274,4,4.75,92.5,390.75
110394,6,3.5,69.33333333333333,303.0
110423,5,4.2,109.0,442.8
110509,7,2.4285714285714284,43.142857142857146,189.42857142857142
110637,5,2.8,44.8,173.6
111042,5,3.8,72.0,306.4
111230,5,3.6,78.4,270.8
111518,5,2.8,52.6,255.6
111532,4,6.25,71.25,286.25
111601,1,17.0,371.0,1527.0
111649,5,4.2,91.0,385.0
111664,3,4.0,66.0,265.0
111701,6,3.1666666666666665,53.5,216.33333333333334
111830,5,3.2,59.8,228.8
112005,4,4.25,95.5,398.0
112069,7,1.8571428571428572,48.57142857142857,200.71428571428572
112115,4,3.25,95.25,413.0
112184,6,3.3333333333333335,65.83333333333333,278.8333333333333
112269,5,2.8,68.2,302.6
112298,1,14.0,383.0,1512.0
112315,3,6.333333333333333,100.33333333333333,411.6666666666667
112324,2,14.5,238.0,897.5
112333,3,4.666666666666667,109.0,422.0
112343,5,3.4,73.6,309.4
112494,4,2.75,51.0,174.0
112592,4,3.75,86.5,323.0
112715,3,6.333333333333333,109.33333333333333,472.0
112805,5,3.6,67.2,265.4
112845,1,3.0,51.0,220.0
112877,2,10.5,119.0,460.5
113010,4,4.75,88.75,409.25
113036,6,2.1666666666666665,47.666666666666664,210.83333333333334
113267,5,2.2,65.4,269.0
113320,4,4.75,81.0,370.5
113518,6,2.5,52.5,236.0
113678,6,4.0,64.0,257.1666666666667
113858,5,3.4,73.4,297.2
114120,4,4.25,84.75,366.25
114142,6,3.0,56.666666666666664,224.33333333333334
114151,3,3.3333333333333335,78.0,358.3333333333333
114219,4,6.25,70.0,270.75
114296,4,3.25,93.0,410.25
114410,3,3.0,59.333333333333336,243.0
114502,2,9.0,80.0,327.0
114592,4,5.25,96.5,417.25
114632,4,5.25,82.25,367.75
114679,4,5.75,99.25,409.75
114752,7,1.8571428571428572,42.285714285714285,169.0
114803,6,3.5,60.5,237.16666666666666
114814,4,3.0,83.0,345.0
114907,7,1.5714285714285714,53.42857142857143,197.85714285714286
115000,3,4.333333333333333,89.0,371.6666666666667
115009,5,2.4,71.2,273.0
115095,4,4.25,89.75,370.0
115131,4,3.0,75.25,298.0
115179,1,13.0,411.0,1787.0
115374,1,9.0,201.0,771.0
115407,4,4.25,75.75,312.5
115435,5,2.2,72.6,283.8
115475,6,2.1666666666666665,63.5,274.0
115526,5,3.8,64.2,277.2
